datetime,open,high,low,close
2015-10-07T01:00:00.000000000Z,0.71545,0.71880,0.71534,0.71784
2015-10-07T05:00:00.000000000Z,0.71787,0.72156,0.71746,0.71956
2015-10-07T09:00:00.000000000Z,0.71962,0.72344,0.71920,0.72235
2015-10-07T13:00:00.000000000Z,0.72236,0.72348,0.72023,0.72095
2015-10-07T17:00:00.000000000Z,0.72092,0.72233,0.72029,0.72080
2015-10-07T21:00:00.000000000Z,0.72068,0.72124,0.71908,0.72054
2015-10-08T01:00:00.000000000Z,0.72058,0.72163,0.71651,0.71738
2015-10-08T05:00:00.000000000Z,0.71742,0.71883,0.71670,0.71747
2015-10-08T09:00:00.000000000Z,0.71744,0.72002,0.71735,0.71850
2015-10-08T13:00:00.000000000Z,0.71850,0.72344,0.71784,0.72290
2015-10-08T17:00:00.000000000Z,0.72284,0.72716,0.72280,0.72584
2015-10-08T21:00:00.000000000Z,0.72560,0.72739,0.72487,0.72606
2015-10-09T01:00:00.000000000Z,0.72602,0.72891,0.72598,0.72840
2015-10-09T05:00:00.000000000Z,0.72844,0.73113,0.72798,0.73069
2015-10-09T09:00:00.000000000Z,0.73066,0.73442,0.73019,0.73304
2015-10-09T13:00:00.000000000Z,0.73308,0.73386,0.73096,0.73314
2015-10-09T17:00:00.000000000Z,0.73311,0.73391,0.73216,0.73350
2015-10-11T21:00:00.000000000Z,0.73178,0.73300,0.73054,0.73233
2015-10-12T01:00:00.000000000Z,0.73236,0.73478,0.73176,0.73323
2015-10-12T05:00:00.000000000Z,0.73326,0.73684,0.73240,0.73625
2015-10-12T09:00:00.000000000Z,0.73628,0.73774,0.73541,0.73666
2015-10-12T13:00:00.000000000Z,0.73662,0.73822,0.73476,0.73752
2015-10-12T17:00:00.000000000Z,0.73754,0.73774,0.73572,0.73622
2015-10-12T21:00:00.000000000Z,0.73612,0.73640,0.73272,0.73285
2015-10-13T01:00:00.000000000Z,0.73280,0.73496,0.72938,0.73164
2015-10-13T05:00:00.000000000Z,0.73161,0.73268,0.72913,0.72986
2015-10-13T09:00:00.000000000Z,0.72982,0.73105,0.72839,0.72952
2015-10-13T13:00:00.000000000Z,0.72948,0.73025,0.72542,0.72776
2015-10-13T17:00:00.000000000Z,0.72780,0.72787,0.72447,0.72447
2015-10-13T21:00:00.000000000Z,0.72453,0.72472,0.71990,0.72186
2015-10-14T01:00:00.000000000Z,0.72192,0.72418,0.72012,0.72266
2015-10-14T05:00:00.000000000Z,0.72261,0.72780,0.72155,0.72640
2015-10-14T09:00:00.000000000Z,0.72634,0.72942,0.72330,0.72752
2015-10-14T13:00:00.000000000Z,0.72752,0.72822,0.72470,0.72648
2015-10-14T17:00:00.000000000Z,0.72644,0.73170,0.72563,0.73002
2015-10-14T21:00:00.000000000Z,0.73008,0.73442,0.72976,0.73060
2015-10-15T01:00:00.000000000Z,0.73064,0.73516,0.72978,0.73194
2015-10-15T05:00:00.000000000Z,0.73190,0.73634,0.73129,0.73393
2015-10-15T09:00:00.000000000Z,0.73389,0.73498,0.72660,0.72896
2015-10-15T13:00:00.000000000Z,0.72890,0.73384,0.72750,0.73328
2015-10-15T17:00:00.000000000Z,0.73333,0.73462,0.73245,0.73292
2015-10-15T21:00:00.000000000Z,0.73312,0.73375,0.72960,0.73056
2015-10-16T01:00:00.000000000Z,0.73060,0.73082,0.72831,0.72852
2015-10-16T05:00:00.000000000Z,0.72848,0.73026,0.72692,0.72762
2015-10-16T09:00:00.000000000Z,0.72758,0.72887,0.72538,0.72714
2015-10-16T13:00:00.000000000Z,0.72719,0.72839,0.72496,0.72694
2015-10-16T17:00:00.000000000Z,0.72700,0.72795,0.72627,0.72658
2015-10-18T21:00:00.000000000Z,0.72580,0.72676,0.72421,0.72494
2015-10-19T01:00:00.000000000Z,0.72497,0.72898,0.72394,0.72747
2015-10-19T05:00:00.000000000Z,0.72743,0.73076,0.72654,0.72910
2015-10-19T09:00:00.000000000Z,0.72906,0.73008,0.72661,0.72661
2015-10-19T13:00:00.000000000Z,0.72658,0.72688,0.72502,0.72580
2015-10-19T17:00:00.000000000Z,0.72584,0.72606,0.72432,0.72486
2015-10-19T21:00:00.000000000Z,0.72458,0.72766,0.72424,0.72664
2015-10-20T01:00:00.000000000Z,0.72668,0.72716,0.72506,0.72698
